[0.000000] (-) TimerEvent: {}
[0.002092] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.002142] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.002157] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.002168] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.002178] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.002187] (-) JobUnselected: {'identifier': 'hospital_package'}
[0.002197] (-) JobUnselected: {'identifier': 'map_msgs'}
[0.002206] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.002215] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.002224] (-) JobUnselected: {'identifier': 'nav2_behaviors'}
[0.002233] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.002242] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.002251] (-) JobUnselected: {'identifier': 'nav2_collision_monitor'}
[0.002260] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.002269] (-) JobUnselected: {'identifier': 'nav2_constrained_smoother'}
[0.002279] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.002288] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.002296] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.002305] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.002315] (-) JobUnselected: {'identifier': 'nav2_graceful_controller'}
[0.002324] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.002333] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.002342] (-) JobUnselected: {'identifier': 'nav2_mppi_controller'}
[0.002351] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.002360] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.002368] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.002377] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.002387] (-) JobUnselected: {'identifier': 'nav2_rotation_shim_controller'}
[0.002396] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.002404] (-) JobUnselected: {'identifier': 'nav2_simple_commander'}
[0.002413] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.002422] (-) JobUnselected: {'identifier': 'nav2_smoother'}
[0.002431] (-) JobUnselected: {'identifier': 'nav2_system_tests'}
[0.002440] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
[0.002449] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.002458] (-) JobUnselected: {'identifier': 'nav2_velocity_smoother'}
[0.002466] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.002475] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.002483] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.002492] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.002501] (-) JobUnselected: {'identifier': 'navigation2'}
[0.002510] (-) EventReactorShutdown: {}
