[0.000000] (-) TimerEvent: {}
[0.000855] (-) JobUnselected: {'identifier': 'costmap_queue'}
[0.001117] (-) JobUnselected: {'identifier': 'dwb_core'}
[0.001134] (-) JobUnselected: {'identifier': 'dwb_critics'}
[0.001190] (-) JobUnselected: {'identifier': 'dwb_msgs'}
[0.001204] (-) JobUnselected: {'identifier': 'dwb_plugins'}
[0.001256] (-) JobUnselected: {'identifier': 'hospital_package'}
[0.001271] (-) JobUnselected: {'identifier': 'map_msgs'}
[0.001323] (-) JobUnselected: {'identifier': 'nav2_amcl'}
[0.001337] (-) JobUnselected: {'identifier': 'nav2_behavior_tree'}
[0.001388] (-) JobUnselected: {'identifier': 'nav2_behaviors'}
[0.001401] (-) JobUnselected: {'identifier': 'nav2_bringup'}
[0.001449] (-) JobUnselected: {'identifier': 'nav2_bt_navigator'}
[0.001461] (-) JobUnselected: {'identifier': 'nav2_collision_monitor'}
[0.001862] (-) JobUnselected: {'identifier': 'nav2_common'}
[0.001961] (-) JobUnselected: {'identifier': 'nav2_constrained_smoother'}
[0.001976] (-) JobUnselected: {'identifier': 'nav2_controller'}
[0.002037] (-) JobUnselected: {'identifier': 'nav2_core'}
[0.002052] (-) JobUnselected: {'identifier': 'nav2_costmap_2d'}
[0.002063] (-) JobUnselected: {'identifier': 'nav2_dwb_controller'}
[0.002122] (-) JobUnselected: {'identifier': 'nav2_graceful_controller'}
[0.002137] (-) JobUnselected: {'identifier': 'nav2_lifecycle_manager'}
[0.002426] (-) JobUnselected: {'identifier': 'nav2_map_server'}
[0.002562] (-) JobUnselected: {'identifier': 'nav2_mppi_controller'}
[0.002581] (-) JobUnselected: {'identifier': 'nav2_msgs'}
[0.002593] (-) JobUnselected: {'identifier': 'nav2_navfn_planner'}
[0.002604] (-) JobUnselected: {'identifier': 'nav2_planner'}
[0.002614] (-) JobUnselected: {'identifier': 'nav2_regulated_pure_pursuit_controller'}
[0.002879] (-) JobUnselected: {'identifier': 'nav2_rotation_shim_controller'}
[0.002898] (-) JobUnselected: {'identifier': 'nav2_rviz_plugins'}
[0.002909] (-) JobUnselected: {'identifier': 'nav2_simple_commander'}
[0.002919] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.002929] (-) JobUnselected: {'identifier': 'nav2_smoother'}
[0.002938] (-) JobUnselected: {'identifier': 'nav2_system_tests'}
[0.002948] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
[0.002957] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.002967] (-) JobUnselected: {'identifier': 'nav2_velocity_smoother'}
[0.002976] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.002986] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.002995] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.003004] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.003013] (-) JobUnselected: {'identifier': 'navigation2'}
[0.003023] (-) EventReactorShutdown: {}
